threshold,revenue_impact,tp,tn,fp,fn,n_flagged,recall,precision
0.1,155580,362,424,609,12,971,0.9679144385026738,0.3728115345005149
0.11,152800,359,432,601,15,960,0.9598930481283422,0.37395833333333334
0.12,151060,357,443,590,17,947,0.9545454545454546,0.37697993664202745
0.13,149400,355,458,575,19,930,0.9491978609625669,0.3817204301075269
0.14,146620,352,466,567,22,919,0.9411764705882353,0.383025027203482
0.15,143960,349,480,553,25,902,0.9331550802139037,0.3869179600886918
0.16,142340,347,497,536,27,883,0.9278074866310161,0.3929784824462061
0.17,141580,346,508,525,28,871,0.9251336898395722,0.39724454649827784
0.18,141840,346,521,512,28,858,0.9251336898395722,0.40326340326340326
0.19,140100,344,532,501,30,845,0.9197860962566845,0.40710059171597635
0.2,139280,343,540,493,31,836,0.9171122994652406,0.4102870813397129
0.21,138480,342,549,484,32,826,0.9144385026737968,0.41404358353510895
0.22,137680,341,558,475,33,816,0.9117647058823529,0.4178921568627451
0.23,137840,341,566,467,33,808,0.9117647058823529,0.422029702970297
0.24,134080,337,574,459,37,796,0.9010695187165776,0.42336683417085424
0.25,133200,336,579,454,38,790,0.8983957219251337,0.4253164556962025
0.26,131400,334,587,446,40,780,0.893048128342246,0.4282051282051282
0.27,128640,331,596,437,43,768,0.8850267379679144,0.4309895833333333
0.28,126820,329,603,430,45,759,0.8796791443850267,0.43346508563899866
0.29,124040,326,611,422,48,748,0.8716577540106952,0.4358288770053476
0.3,124200,326,619,414,48,740,0.8716577540106952,0.44054054054054054
0.31,123440,325,630,403,49,728,0.8689839572192514,0.44642857142857145
0.32,121680,323,640,393,51,716,0.8636363636363636,0.4511173184357542
0.33,116000,317,650,383,57,700,0.8475935828877005,0.45285714285714285
0.34,115100,316,654,379,58,695,0.8449197860962567,0.4546762589928058
0.35,112220,313,657,376,61,689,0.8368983957219251,0.45428156748911463
0.36,111400,312,665,368,62,680,0.8342245989304813,0.4588235294117647
0.37,111560,312,673,360,62,672,0.8342245989304813,0.4642857142857143
0.38,109740,310,680,353,64,663,0.8288770053475936,0.4675716440422323
0.39,108840,309,684,349,65,658,0.8262032085561497,0.4696048632218845
0.4,106100,306,694,339,68,645,0.8181818181818182,0.4744186046511628
0.41,103340,303,703,330,71,633,0.8101604278074866,0.4786729857819905
0.42,102420,302,706,327,72,629,0.8074866310160428,0.48012718600953896
0.43,99700,299,717,316,75,615,0.7994652406417112,0.4861788617886179
0.44,97880,297,724,309,77,606,0.7941176470588235,0.4900990099009901
0.45,98000,297,730,303,77,600,0.7941176470588235,0.495
0.46,96180,295,737,296,79,591,0.7887700534759359,0.49915397631133673
0.47,94380,293,745,288,81,581,0.7834224598930482,0.504302925989673
